,tweet_id,Error
0,888202515573088257,"(144, 'No status found with that ID.')"
1,873697596434513921,"(144, 'No status found with that ID.')"
2,872668790621863937,"(144, 'No status found with that ID.')"
3,869988702071779329,"(144, 'No status found with that ID.')"
4,866816280283807744,"(144, 'No status found with that ID.')"
5,861769973181624320,"(144, 'No status found with that ID.')"
6,845459076796616705,"(144, 'No status found with that ID.')"
7,842892208864923648,"(144, 'No status found with that ID.')"
8,837012587749474308,"(144, 'No status found with that ID.')"
9,827228250799742977,"(144, 'No status found with that ID.')"
10,802247111496568832,"(144, 'No status found with that ID.')"
11,775096608509886464,"(144, 'No status found with that ID.')"
12,770743923962707968,"(144, 'No status found with that ID.')"
13,754011816964026368,"(144, 'No status found with that ID.')"
